Name;SamAccountName;DisplayName;Path
stud1;stud1;Student 1;CN=Users,DC=dehondt,DC=local
stud2;stud2;Student 2;CN=Users,DC=dehondt,DC=local
stud3;stud3;Student 3;CN=Users,DC=dehondt,DC=local
stud4;stud4;Student 4;CN=Users,DC=dehondt,DC=local
stud5;stud5;Student 5;CN=Users,DC=dehondt,DC=local
stud6;stud6;Student 6;CN=Users,DC=dehondt,DC=local
stud7;stud7;Student 7;CN=Users,DC=dehondt,DC=local
stud8;stud8;Student 8;CN=Users,DC=dehondt,DC=local
stud9;stud9;Student 9;CN=Users,DC=dehondt,DC=local
stud10;stud10;Student 10;CN=Users,DC=dehondt,DC=local
