id,datum_vaststelling_jaar,datum_vaststelling_maand,datum_vaststelling,opnameplaats_straat,aantal_passanten,aantal_overtredingen_roodlicht
4,2010,201001,1/01/2010,BISSCHOPPENHOFLAAN,3266,0
7,2010,201001,1/01/2010,GASTHUISTUNNEL,313,0
10,2010,201001,1/01/2010,BINNENSINGEL,11065,0
13,2010,201001,1/01/2010,BISSCHOPPENHOFLAAN,4797,2
16,2010,201001,1/01/2010,NOORDERSINGEL,6930,0
19,2010,201001,1/01/2010,BINNENSINGEL,7536,0
22,2010,201001,2/01/2010,BISSCHOPPENHOFLAAN,8992,0
25,2010,201001,2/01/2010,BINNENSINGEL,10871,0
28,2010,201001,2/01/2010,BISSCHOPPENHOFLAAN,7466,0
31,2010,201001,2/01/2010,NOORDERSINGEL,8596,0
34,2010,201001,2/01/2010,BINNENSINGEL,12606,0
37,2010,201001,3/01/2010,BISSCHOPPENHOFLAAN,6201,2
40,2010,201001,3/01/2010,NOORDERSINGEL,7944,0
43,2010,201001,3/01/2010,BISSCHOPPENHOFLAAN,4506,0
46,2010,201001,3/01/2010,BINNENSINGEL,11363,0
49,2010,201001,3/01/2010,BINNENSINGEL,9143,0
52,2010,201001,4/01/2010,BISSCHOPPENHOFLAAN,4209,0
55,2010,201001,4/01/2010,BINNENSINGEL,5775,0
58,2010,201001,4/01/2010,BISSCHOPPENHOFLAAN,10366,0
61,2010,201001,4/01/2010,GASTHUISTUNNEL,1540,0
64,2010,201001,4/01/2010,BINNENSINGEL,4531,0
67,2010,201001,4/01/2010,NOORDERSINGEL,2892,0
70,2010,201001,5/01/2010,BINNENSINGEL,23652,0
73,2010,201001,5/01/2010,NOORDERSINGEL,13096,0
76,2010,201001,5/01/2010,BINNENSINGEL,26398,0
79,2010,201001,5/01/2010,BISSCHOPPENHOFLAAN,13219,0
82,2010,201001,5/01/2010,BISSCHOPPENHOFLAAN,10428,2
85,2010,201001,5/01/2010,GASTHUISTUNNEL,2031,0
88,2010,201001,6/01/2010,BINNENSINGEL,27885,0
91,2010,201001,6/01/2010,BISSCHOPPENHOFLAAN,10723,0
94,2010,201001,6/01/2010,BISSCHOPPENHOFLAAN,12818,0
97,2010,201001,6/01/2010,BINNENSINGEL,23525,0
100,2010,201001,6/01/2010,GASTHUISTUNNEL,516,0
103,2010,201001,6/01/2010,NOORDERSINGEL,14303,0
106,2010,201001,7/01/2010,GASTHUISTUNNEL,2230,0
109,2010,201001,7/01/2010,BREDABAAN,10523,4
112,2010,201001,7/01/2010,BINNENSINGEL,27705,0
115,2010,201001,7/01/2010,BINNENSINGEL,24065,0
118,2010,201001,7/01/2010,BISSCHOPPENHOFLAAN,12372,0
121,2010,201001,7/01/2010,NOORDERSINGEL,13893,0
124,2010,201001,8/01/2010,BREDABAAN,11233,2
127,2010,201001,8/01/2010,GASTHUISTUNNEL,386,0
130,2010,201001,8/01/2010,BINNENSINGEL,27549,0
133,2010,201001,8/01/2010,NOORDERSINGEL,14158,0
136,2010,201001,8/01/2010,BISSCHOPPENHOFLAAN,12302,0
139,2010,201001,8/01/2010,BINNENSINGEL,24070,0
142,2010,201001,9/01/2010,BINNENSINGEL,14697,0
145,2010,201001,9/01/2010,BINNENSINGEL,12438,0
148,2010,201001,9/01/2010,BREDABAAN,7367,0
151,2010,201001,9/01/2010,NOORDERSINGEL,8035,0
154,2010,201001,9/01/2010,GASTHUISTUNNEL,1679,0
157,2010,201001,9/01/2010,BISSCHOPPENHOFLAAN,7348,0
160,2010,201001,10/01/2010,BREDABAAN,4964,1
163,2010,201001,10/01/2010,BINNENSINGEL,11193,0
166,2010,201001,10/01/2010,BINNENSINGEL,12826,0
169,2010,201001,10/01/2010,NOORDERSINGEL,6850,0
172,2010,201001,10/01/2010,GASTHUISTUNNEL,1064,0
175,2010,201001,10/01/2010,BISSCHOPPENHOFLAAN,3880,0
178,2010,201001,11/01/2010,BISSCHOPPENHOFLAAN,4855,0
181,2010,201001,11/01/2010,BINNENSINGEL,7115,0
184,2010,201001,11/01/2010,NOORDERSINGEL,2817,0
187,2010,201001,11/01/2010,BINNENSINGEL,6746,0
190,2010,201001,11/01/2010,GASTHUISTUNNEL,1883,0
193,2010,201001,11/01/2010,BREDABAAN,10241,1
196,2010,201001,11/01/2010,BISSCHOPPENHOFLAAN,10814,0
199,2010,201001,12/01/2010,BINNENSINGEL,27182,0
202,2010,201001,12/01/2010,GASTHUISTUNNEL,1903,0
205,2010,201001,12/01/2010,BISSCHOPPENHOFLAAN,16121,0
208,2010,201001,12/01/2010,BINNENSINGEL,24412,0
211,2010,201001,12/01/2010,BISSCHOPPENHOFLAAN,13884,0
214,2010,201001,12/01/2010,BREDABAAN,10544,2
217,2010,201001,12/01/2010,NOORDERSINGEL,13849,0
220,2010,201001,13/01/10,BINNENSINGEL,26759,0
223,2010,201001,13/01/10,GASTHUISTUNNEL,244,0
226,2010,201001,13/01/10,BINNENSINGEL,23348,0
229,2010,201001,13/01/10,BISSCHOPPENHOFLAAN,15427,0
232,2010,201001,13/01/10,NOORDERSINGEL,13588,0
235,2010,201001,13/01/10,BISSCHOPPENHOFLAAN,13112,0
238,2010,201001,13/01/10,BREDABAAN,10330,1
241,2010,201001,14/01/10,BREDABAAN,10979,2
244,2010,201001,14/01/10,NOORDERSINGEL,14565,0
247,2010,201001,14/01/10,BINNENSINGEL,26545,0
250,2010,201001,14/01/10,BISSCHOPPENHOFLAAN,10795,0
253,2010,201001,14/01/10,BINNENSINGEL,29212,0
256,2010,201001,14/01/10,BISSCHOPPENHOFLAAN,16271,0
259,2010,201001,14/01/10,GASTHUISTUNNEL,2062,0
262,2010,201001,15/01/10,BINNENSINGEL,29570,0
265,2010,201001,15/01/10,BINNENSINGEL,26063,0
268,2010,201001,15/01/10,GASTHUISTUNNEL,518,0
271,2010,201001,15/01/10,BISSCHOPPENHOFLAAN,16848,0
274,2010,201001,15/01/10,BISSCHOPPENHOFLAAN,14399,0
277,2010,201001,15/01/10,BREDABAAN,3531,1
280,2010,201001,15/01/10,NOORDERSINGEL,14847,0
283,2010,201001,16/01/10,BREDABAAN,9779,3
