date_determination,office_location,violations,people_involved
01/12/2010,BISSCHOPPENHOFLAAN,3266,0
01/12/2010,GASTHUISTUNNEL,313,0
01/12/2010,BINNENSINGEL,11065,0
01/12/2010,KATTENBROEK,4797,2
01/12/2010,NOORDERSINGEL,6930,0
01/12/2010,BINNENSINGEL,7536,0
02/12/2010,KATTENBROEK,8992,0
02/12/2010,BINNENSINGEL,10871,0
02/12/2010,KATTENBROEK,7466,0
02/12/2010,NOORDERSINGEL,8596,0
02/12/2010,BINNENSINGEL,12606,0
03/12/2010,KATTENBROEK,6201,2
03/12/2010,NOORDERSINGEL,7944,0
03/12/2010,BISSCHOPPENHOFLAAN,4506,0
03/12/2010,BINNENSINGEL,11363,0
03/12/2010,BINNENSINGEL,9143,0
04/12/2010,BISSCHOPPENHOFLAAN,4209,0
04/12/2010,BINNENSINGEL,5775,0
04/12/2010,BISSCHOPPENHOFLAAN,10366,0
04/12/2010,GASTHUISTUNNEL,1540,0
04/12/2010,BINNENSINGEL,4531,0
04/12/2010,NOORDERSINGEL,2892,0
05/12/2010,BINNENSINGEL,23652,0
05/12/2010,NOORDERSINGEL,13096,0
05/12/2010,BINNENSINGEL,26398,0
05/12/2010,KATTENBROEK,13219,0
05/12/2010,BISSCHOPPENHOFLAAN,10428,2
05/12/2010,GASTHUISTUNNEL,2031,0
06/12/2010,KATTENBROEK,27885,0
06/12/2010,BISSCHOPPENHOFLAAN,10723,0
06/12/2010,BISSCHOPPENHOFLAAN,12818,0
06/12/2010,BINNENSINGEL,23525,0
06/12/2010,KATTENBROEK,516,0
06/12/2010,NOORDERSINGEL,14303,0
07/12/2010,KATTENBROEK,2230,0
07/12/2010,BREDABAAN,10523,4
07/12/2010,BINNENSINGEL,27705,0
07/12/2010,BINNENSINGEL,24065,0
07/12/2010,BISSCHOPPENHOFLAAN,12372,0
07/12/2010,NOORDERSINGEL,13893,0
08/12/2010,BREDABAAN,11233,2
08/12/2010,GASTHUISTUNNEL,386,0
08/12/2010,BINNENSINGEL,27549,0
08/12/2010,NOORDERSINGEL,14158,0
08/12/2010,BISSCHOPPENHOFLAAN,12302,0
08/12/2010,BINNENSINGEL,24070,0
09/12/2010,BINNENSINGEL,14697,0
09/12/2010,BINNENSINGEL,12438,0
09/12/2010,BREDABAAN,7367,0
09/12/2010,NOORDERSINGEL,8035,0
09/12/2010,GASTHUISTUNNEL,1679,0
09/12/2010,BISSCHOPPENHOFLAAN,7348,0
10/12/2010,BREDABAAN,4964,1
10/12/2010,BINNENSINGEL,11193,0
10/12/2010,BINNENSINGEL,12826,0
10/12/2010,NOORDERSINGEL,6850,0
10/12/2010,GASTHUISTUNNEL,1064,0
10/12/2010,BISSCHOPPENHOFLAAN,3880,0
11/12/2010,BISSCHOPPENHOFLAAN,4855,0
11/12/2010,BINNENSINGEL,7115,0
11/12/2010,NOORDERSINGEL,2817,0
11/12/2010,BINNENSINGEL,6746,0
11/12/2010,GASTHUISTUNNEL,1883,0
11/12/2010,BREDABAAN,10241,1
11/12/2010,BISSCHOPPENHOFLAAN,10814,0
12/12/2010,BINNENSINGEL,27182,0
12/12/2010,GASTHUISTUNNEL,1903,0
