tourney;round;winner;loser;winnersets;losersets
brisbane;Finals;Grigor Dimitrov;Kei Nishikori;2;1
brisbane;Semi-Finals;Grigor Dimitrov;Milos Raonic;2;0
brisbane;Semi-Finals;Kei Nishikori;Stan Wawrinka;2;0
brisbane;Quarter-Finals;Milos Raonic;Rafael Nadal;2;1
brisbane;Quarter-Finals;Stan Wawrinka;Kyle Edmund;2;1
brisbane;Quarter-Finals;Kei Nishikori;Jordan Thompson;2;0
brisbane;Quarter-Finals;Grigor Dimitrov;Dominic Thiem;2;1
brisbane;Round of 16;Milos Raonic;Diego Schwartzman;2;0
brisbane;Round of 16;Stan Wawrinka;Viktor Troicki;2;0
brisbane;Round of 16;Kei Nishikori;Jared Donaldson;2;1
brisbane;Round of 16;Dominic Thiem;Sam Groth;2;0
brisbane;Round of 16;Rafael Nadal;Mischa Zverev;2;0
brisbane;Round of 16;Kyle Edmund;Lucas Pouille;2;0
brisbane;Round of 16;Grigor Dimitrov;Nicolas Mahut;2;0
brisbane;Round of 16;Jordan Thompson;David Ferrer;2;1
brisbane;Round of 32;Rafael Nadal;Alexandr Dolgopolov;2;0
brisbane;Round of 32;Lucas Pouille;Gilles Simon;2;0
brisbane;Round of 32;Grigor Dimitrov;Steve Johnson;2;0
brisbane;Round of 32;David Ferrer;Bernard Tomic;2;0
brisbane;Round of 32;Jared Donaldson;Gilles Muller;2;0
brisbane;Round of 32;Kyle Edmund;Ernesto Escobedo;2;0
brisbane;Round of 32;Sam Groth;Pierre-Hugues Herbert;2;1
brisbane;Round of 32;Nicolas Mahut;Stephane Robert;2;1
brisbane;Round of 32;Diego Schwartzman;Sam Querrey;2;0
brisbane;Round of 32;Jordan Thompson;Elias Ymer;2;0
brisbane;Round of 32;Viktor Troicki;Yoshihito Nishioka;2;0
brisbane;Round of 32;Mischa Zverev;Alex de Minaur;2;0
brisbane;2nd Round Qualifying;Yoshihito Nishioka;Tim Smyczek;2;0
brisbane;2nd Round Qualifying;Jared Donaldson;John-Patrick Smith;2;1
brisbane;2nd Round Qualifying;Alex de Minaur;Frances Tiafoe;2;1
brisbane;2nd Round Qualifying;Ernesto Escobedo;Ivan Dodig;2;1
brisbane;1st Round Qualifying;Alex de Minaur;Mikhail Kukushkin;2;0
brisbane;1st Round Qualifying;Ivan Dodig;Ryan Harrison;2;1
brisbane;1st Round Qualifying;Yoshihito Nishioka;Go Soeda;2;1
brisbane;1st Round Qualifying;Jared Donaldson;Rajeev Ram;2;0
brisbane;1st Round Qualifying;Frances Tiafoe;Andrew Whittington;2;0
brisbane;1st Round Qualifying;Tim Smyczek;Bjorn Fratangelo;2;1
brisbane;1st Round Qualifying;John-Patrick Smith;Stefan Kozlov;2;0
brisbane;1st Round Qualifying;Ernesto Escobedo;Tobias Kamke;2;0
sydney;Finals;Gilles Muller;Daniel Evans;2;0
sydney;Semi-Finals;Gilles Muller;Viktor Troicki;2;0
sydney;Semi-Finals;Daniel Evans;Andrey Kuznetsov;2;1
sydney;Quarter-Finals;Daniel Evans;Dominic Thiem;2;1
sydney;Quarter-Finals;Gilles Muller;Pablo Cuevas;2;0
sydney;Quarter-Finals;Viktor Troicki;Philipp Kohlschreiber;0;0
sydney;Quarter-Finals;Andrey Kuznetsov;Pablo Carreno Busta;2;1
sydney;Round of 16;Dominic Thiem;Gastao Elias;2;1
